id,name,sub_name,addr,lat,lng
0,전민규의황제누룽지탕(계양점),한식당,인천광역시 계양구 계산동 1082-2,37.534673!,126.737133!
1,누룩골계양점,음식점,인천광역시 계양구 경명대로 954,37.5443412,126.7126246
2,가든파티 계양점,갈비 전문 음식점,인천광역시 계양구 경명대로 977,37.544598!,126.7154767
3,경복궁 계산점,한식당,인천광역시 계양구 계산동 1083-6 나동,37.534352!,126.73757!1
4,경복궁불고기 계산점,불고기 전문점,인천광역시 계양구 작전동 910-2,37.53234!4,126.737966!
5,쭈꾸미본부,해산물 요리 전문식당,인천광역시 계양구 계산3동 1065-1,37.540257!,126.7340109
6,삿뽀로 계산점,일식당 및 일정식집,인천광역시 계양구 도두리로 31,37.5341197,126.7376788
7,라라코스트 계양점,패밀리 레스토랑,인천광역시 계양구 장제로 768 K&T빌딩 3층,37.5362865,126.7346268
8,계산복집,복어 요리 전문식당,인천광역시 계양구 계산새로 25,37.538081!,126.7308117
9,우리동네맛코다리,음식점,인천광역시 계양구 계산3동 57-13,37.5381277,126.7303798
10,신선설농탕 작전점,설렁탕 전문점,인천광역시 계양구 작전동 계양대로 63,37.529403!,126.7221861
11,산참치,참치 전문점,인천광역시 계양구 계양2동 계양산로 195,37.5476717,126.7376324
12,동해막국수,음식점,인천광역시 계양구 계양1동 학고개길 15-29,37.5778587,126.7199331
13,금문도,중국 음식점,인천광역시 계양구 작전1동 효서로 268,37.5277936,126.7257524
14,쿠우쿠우 인천계양점,뷔페 식당,인천광역시 계양구 계산새로 93 10층,37.5380794,126.7385397
15,백암왕순대,한식당,인천광역시 계양구 계산동 947-1,37.5426136,126.7279259
16,계양칼국수,음식점,인천광역시 계양구 서운동 108-31,37.5356919,126.7445915
17,소담한정식,한정식집,인천광역시 계양구 박촌동 287-14,37.541145!,126.759214!
18,샤르또르고기해물부페,음식점,인천광역시 계양구 계산2동 920-10,37.543644!,126.7273!15
