id,name,sub_name,addr,lat,lng
0,부암갈비,갈비 전문 음식점,인천광역시 남동구 용천로 149,37.4629849,126.7142983
1,로로김밥,한식당,인천광역시,37.4521893,126.7263749
2,곤드레밥집,한식당,인천광역시 남동구 구월동 1148-1,37.4494464,126.7063262
3,육해공생칼국수,칼국수집,인천광역시 남동구 성리로 59 1층,37.4479312,126.7087126
4,전복촌,음식점,인천광역시 남동구 구월동 예술로204번길 1 35 해인빌딩1층,37.4524639,126.7037109
5,파니노구스토,이탈리아 음식점,인천광역시 남동구 구월동 인하로507번길 14,37.4437999,126.7032253
6,초심 본점,음식점,인천광역시 남동구 만수1동 957-12,37.4535165,126.7332744
7,공단떡볶이,음식점,인천광역시 남동구 남동서로 226,37.4093794,126.693883!
8,삼만시두부집,두부 요리 전문점,인천광역시 남동구 구월로115번길 22,37.4577254,126.7032381
9,착한식당 착한게장,음식점,인천광역시 남동구 간석동 남동대로 924,37.4648641,126.7084853
10,영월애곤드레 인천본점,한식당,인천광역시 남동구 수산동 199,37.4388212,126.7182644
11,황금풍천장어,민물장어 요리 전문식당,인천광역시 남동구 구월1동 1199,37.4527164,126.7083992
12,경복궁 구월점,한식당,인천광역시 남동구 구월동 1128-3,37.4503214,126.7028822
13,사도시,회 전문점,A동 중앙프라자 KR 인천광역시 남동구 예술로 206 구월 2층,37.4523955,126.7017382
14,이당 비스트로 Yidang Bistro,음식점,인천광역시 남동구 수산동 136-2,37.4361925,126.7235214
15,등촌샤브칼국수,샤브샤브 전문점,인천광역시 남동구 인하로489번길 10,37.4439785,126.701274!
16,인천집,한식당,인천광역시 남동구 구월3동 1367-12,37.4473778,126.698889!
17,간석동맛집,음식점,인천광역시 남동구 간석4동 750-5,37.4665143,126.7006661
18,작은식당우,일본라면 전문식당,인천광역시 남동구 구월3동 문화서로46번길 38,37.4490356,126.6984595
19,삼화정,음식점,인천광역시 남동구 간석3동 176-5,37.4645147,126.7089709
20,옹기꽃게장,게 요리 전문점,인천광역시 남동구 도림동 도림북로16번길 31,37.4246933,126.7329443
21,명동보리밥,보리밥 전문점,인천광역시 남동구 예술로 220,37.4535159,126.7019441
23,별삼겹,음식점,인천광역시 KR 선수촌공원로55번길 11-6 KR 인천광역시 남동구 구월동 1493-4번지 1층 구월동 4동 5호 남동구,37.443775!,126.709253!
25,마초쉐프 구월점,이탈리아 음식점,인천광역시 남동구 구월동 성말로13번길 15,37.4463271,126.7018106
27,유키돈까스,돈까스 전문식당,인천광역시 남동구 구월로 125,37.456876!,126.7042983
29,맛있는집,음식점,인천광역시 남동구 구월동 번지 1층 1247-1 일부호,37.4605851,126.7181655
31,찬우물농원,음식점,인천광역시 남동구 수산동 11-5,37.4445247,126.7299024
33,먹거리촌,한식당,인천광역시 남동구 구월1동 1164-14,37.4452392,126.7057217
35,우리두리식당,한식당,인천광역시 남동구 구월동 1370-18번지 1층,37.4469693,126.6963052
37,일용할 양식,한식당,인천광역시 남동구 구월동 1359-7,37.4482037,126.6952666
39,"찜꾼 (구, 팔덕식당)",음식점,인천광역시 남동구 성말로 31 화성빌딩 1층,37.4453441,126.7039749
41,형제곱창,음식점,인천광역시 남동구 구월3동 1371-6,37.4467389,126.6980835
43,왕보따리,고기뷔페,인천광역시 남동구 구월동 1458-1,37.4461562,126.7026603
45,정문숯불구이,음식점,인천광역시 남동구 비류대로762번길 21,37.4208007,126.7205261
47,맛집,음식점,인천광역시 연수구 청학동 527-23번지 101호,37.4264257,126.6680943
49,육교추어탕,음식점,인천광역시 남동구 운연동 30-1,37.4435031,126.7656722
51,인브스키친 구월점,이탈리아 음식점,인천광역시 남동구 구월동 1175-1 구암빌딩 102호,37.4434244,126.7049699
