id,name,sub_name,addr,lat,lng
0,해장국집,해장국 전문점,인천광역시 동구 동산로87번길 6,37.4750635,126.6449967
1,문화반점,중국 음식점,인천광역시 동구 송림동 233-3,37.4731914,126.6389796
2,사리원,음식점,인천광역시 동구 수문통로 62,37.4807846,126.636124!
3,물레방아,음식점,인천광역시 동구 화수동 화수로 80-1,37.4851582,126.630612!
4,명동칼국수,한식당,인천광역시 동구 송현동 67-6,37.478345!,126.6327279
5,현대물텀벙,음식점,인천광역시 동구 송림동 59-19,37.4748457,126.6445324
6,만복분식,음식점,인천광역시 동구 송림동 50-20,37.4766691,126.6457767
7,진천토종순대,한식당,인천광역시 동구 송림3.5동 102-129,37.4705407,126.6495598
8,수문통짬뽕,중국 음식점,인천광역시 동구 송현1.2동 수문통로 41,37.4799209,126.6341203
9,우순임원조할머니쭈꾸미,해산물 요리 전문식당,인천광역시 동구 만석동 54-18,37.4809947,126.6205513
10,송림기사식당,음식점,인천광역시 동구 송림3.5동 새천년로 28,37.4709527,126.6496059
11,창석주점,음식점,인천광역시 동구 송림동 55,37.4775398,126.6447268
12,옛골 장터골,한식당,인천광역시 동구 화평동 3-42,37.4800393,126.6325057
13,가을초밥,일본 음식점,인천광역시 동구 송림6동 35-48 1층,37.4792206,126.6456018
14,인천게장,음식점,인천광역시 동구 금곡로81번길 22,37.4740947,126.6449092
15,한밭식당,한식당,인천광역시 동구 화수2동 35-20,37.4852053,126.6305335
16,생선구이전문점 어도,음식점,52-3 동구 인천광역시 KR,37.4731713,126.6428664
17,송미옥,한식당,인천광역시 동구 화도진로5번길 11-3 (금곡동),37.4732901,126.6360611
18,황허장,음식점,인천광역시 동구 송림3.5동 102-24,37.4707074,126.6495876
19,벽란식당,음식점,인천광역시 동구 화수동 285-6,37.480428!,126.6292282
20,문성각,중국 음식점,인천광역시 동구 송림동 8-370,37.482836!,126.6496736
21,형제원,음식점,인천광역시 동구 송림동 55-45,37.476722!,126.6441805
23,안면도쭈꾸미,음식점,인천광역시 동구 만석동 54-8,37.481122!,126.620979!
25,가연식당,음식점,인천광역시 동구 만석동 36-19,37.4821221,126.6209234
27,아족 ( 아빠족발 본점 ),족발가게,인천광역시 동구 수문통로 9 1층,37.4775964,126.6318698
29,만두집,간이음식점,인천광역시 동구 송림6동,37.4773181,126.6480319
31,진미식당,순대 전문점,인천광역시 동구 송현동 98-58,37.4762223,126.6335299
33,벌교꼬막정식,음식점,인천광역시 동구 화수동 번지 1층 8-38 다호 화수아파트,37.4848319,126.628789!
35,송현여염집,음식점,인천광역시 동구 화수1.화평동 1-24,37.4803932,126.6331527
37,별미순대집,한식당,인천광역시 동구 송현동 100번지,37.4760293,126.6331863
39,만미갈비,음식점,인천광역시 동구 만석동 63-3,37.4815056,126.6219202
41,미륭각,음식점,인천광역시 동구 화수동 7-296,37.4851386,126.6292877
43,장강,음식점,인천광역시 동구 만석동 만석부두로 3,37.4881487,126.6220605
45,마마손 이야기,음식점,"2층, 45 수문통로 송현1.2동 동구 인천광역시",37.4801194,126.6343733
47,은혜반점,음식점,인천광역시 동구 석수로 5,37.479557!,126.627748!
49,신라반점,중국 음식점,인천광역시 동구 금곡동 33-6,37.4728134,126.6376095
51,진주만두,음식점,인천광역시 동구 송림동 50,37.477267!,126.645188!
53,토마토식당,한식당,인천광역시 동구 송현3동 129,37.4870947,126.6528613
