id,name,sub_name,addr,lat,lng
0,변가네옹진냉면,한식당,인천광역시 미추홀구 주안동 509-13,37.4576033,126.6770969
1,청실홍실,음식점,인천광역시 미추홀구 주안1동 190-8,37.4596212,126.6798069
2,오목골즉석메밀우동,음식점,인천광역시 미추홀구 숭의동 88-1,37.4683896,126.650851!
3,풍전식당,음식점,인천광역시 미추홀구 남주길 5,37.4545603,126.6696009
4,화룽,한식당,인천광역시 미추홀구 주안1동 157-17,37.461348!,126.6814181
5,뽀까뽀까 신볶음닭 주안점,닭요리전문점,인천광역시 미추홀구 주안중로43번길 9,37.4622222,126.6822222
6,고을순대국,한식당,인천광역시 미추홀구 주안3동 722-28,37.4516843,126.6716968
7,고이한돈,삼겹살 전문점,인천광역시 미추홀구 주안중로 5,37.4588827,126.6824941
8,청해김밥,김밥전문점,인천광역시 미추홀구 주안동 406-34,37.4577907,126.6863054
9,인천맛집,음식점,주안동 92-6번지 남구 인천광역시 KR,37.4610537,126.6831037
10,막줄래횟집,해산물 요리 전문식당,인천광역시 미추홀구 경인로438번길 10,37.4573299,126.6885435
11,송도갈매기 주안,숯불구이/바베큐전문점,인천광역시 미추홀구 주안6동 1585-1,37.457871!,126.692904!
12,태양식당,한식당,인천광역시 미추홀구 숭의2동 164-28,37.4619306,126.6441162
13,경인궁,숯불구이/바베큐전문점,인천광역시 미추홀구 주안4동 456-7,37.4550341,126.6802119
14,연중반점,음식점,인천광역시 미추홀구 주안동 1542-18,37.4575061,126.6908665
15,대오통닭,음식점,인천광역시 미추홀구 주안동 549-3,37.4552287,126.6757779
16,파파,음식점,인천광역시 미추홀구 소성로185번길 17,37.4418624,126.6690016
17,영지숯불갈비,갈비 전문 음식점,인천광역시 미추홀구 용현동 경인남길 86,37.4533371,126.6577328
18,백령면옥,냉면 전문점,인천광역시 미추홀구 석정로 226,37.4678301,126.6604011
19,모모라면,음식점,인천광역시 미추홀구 도화동 80-97,37.4675134,126.6543372
20,정든식당,생선 레스토랑,인천광역시 미추홀구 용현5동 627-244,37.4500856,126.6351523
21,고수찜닭,찜닭집,인천광역시 미추홀구 용현동 193-8 1층,37.4518409,126.6562892
23,숭의가든,음식점,인천광역시 미추홀구 숭의동 72-2,37.4653971,126.6521507
25,닭살부부,음식점,인천광역시 미추홀구 용현동 186-17,37.4510929,126.6596201
27,송도골,음식점,인천광역시 미추홀구 용현동 능해길46번길 4,37.4586812,126.6399099
29,지짐보쌈정식,음식점,인천광역시 미추홀구 용현1.4동 193-9 2층,37.4517903,126.65637!1
31,동추원불고기,한식당,인천광역시 미추홀구 학익소로 67,37.4416742,126.670769!
33,마산집,음식점,인천광역시 미추홀구 숭의동 162-17,37.4630266,126.6438269
35,용동할머니칼국수,음식점,인천광역시 미추홀구 주안1동 197-8,37.4596002,126.6772799
37,밥집,음식점,인천광역시 미추홀구 숭의동 177-1번지,37.464278!,126.6485119
39,대호식당,한식당,인천광역시 미추홀구 주안7동 1436-31,37.4483217,126.6764745
41,맛조은곱창,음식점,인천광역시 미추홀구 도화동 434-1,37.459309!,126.6742072
43,참나무집,한식당,인천광역시 미추홀구 주안7동 1297-2,37.4422161,126.6789239
45,영월옹심이칼국수,국수 전문점,주안동 1482-15번지 1층 남구 인천광역시 KR,37.4515444,126.683362!
47,가메이,일본 음식점,인천광역시,37.4516657,126.6568299
49,삼일반점,음식점,숭의동 283-12번지 1층 남구 인천광역시 KR,37.4588663,126.6490479
51,스테이크1번가,음식점,인천광역시 미추홀구 주안1동 미추홀대로734번길 6,37.4628685,126.6807797
53,예향닭강정,포장 전문 프라이드 치킨집,인천광역시 미추홀구 주안7동 1341-38,37.4468456,126.677842!
55,농원숯불왕갈비,한식당,인천광역시 미추홀구 주안1동 203-21,37.4597648,126.6781129
57,보화장,중국 음식점,인천광역시 미추홀구 학익동 330-11,37.445292!,126.6588209
