id,name,sub_name,addr,lat,lng
0,모녀떡볶이 부평남부역점,음식점,인천광역시 부평구 부평동 광장로 16,37.4890195,126.7234865
1,오구당당 본점,한식당,인천광역시 부평구 부평1동 경원대로1377번길 47 1층,37.4934427,126.7220378
2,대왕김밥,간이음식점,인천광역시 부평구 부평1동 542-76,37.4941085,126.7218118
3,에픽,음식점,인천광역시 부평구 부평동 341-30,37.491552!,126.7205301
4,더히든키친,음식점,인천광역시 부평구 부평동 신트리로22번길 15-14,37.50491!4,126.7243059
5,삼미당,일본라면 전문식당,인천광역시 부평구 부평5동 부평문화로72번길 10-5,37.4936104,126.724065!
6,뉴욕반점,중국 음식점,인천광역시 부평구 부평1동 부평대로87번길 4 3층,37.4993118,126.7215664
7,화미소금구이 부평본점,숯불구이/바베큐전문점,인천광역시 부평구 부평1동 부흥로 249-13,37.4994288,126.719307!
8,스시애 2호점,회전초밥집,인천광역시 부평구 부평1동 부평대로87번길 4 2층,37.4993336,126.7216465
9,당신과나의식탁,스파게티 전문점,인천광역시 부평구 대정로36번길 23,37.495187!,126.7238007
10,부평시장맛집,음식점,인천광역시 부평구 부평4동 222-19,37.4952859,126.7271876
11,해민면옥,음식점,인천광역시 부평구 부평대로38번길 4 1층,37.4946664,126.7231492
12,카리브 레스토랑,이탈리아 음식점,인천광역시 부평구 부평동 199-20,37.4934281,126.7234409
13,오캄,음식점,인천광역시 부평구 부평문화로79번길 19 1층,37.4950974,126.724595!
14,부평고모네곱창,고기 요리 전문점,인천광역시 부평구 부평1동 부평대로71번길 11 1층,37.497756!,126.721441!
15,비하니,인도 레스토랑,인천광역시 부평구 부평1동 광장로24번길 13 신성빌딩 1층,37.4901985,126.7252213
16,복화루,중국 음식점,인천광역시 부평구 부평대로32번길 16,37.4943137,126.7240295
17,별미칡냉면,냉면 전문점,인천광역시 부평구 갈산2동 377-8,37.508164!,126.7242!15
18,디기티,이탈리아 음식점,인천광역시 부평구 갈산동 395 3번지 1층,37.5075541,126.7280854
19,"그래,잇",음식점,인천광역시 부평구 부평문화로65번길 19 1층,37.494922!,126.723371!
20,원조신포닭강정 부평점,포장 전문 프라이드 치킨집,인천광역시 부평구 부평1동 534-59,37.4910216,126.7202447
22,한우나들이,한국식 소고기 전문 음식점,인천광역시 부평구 부평3동 773-54,37.4887896,126.7122754
24,부평막국수,냉면 전문점,인천광역시 부평구 부평동 529-96,37.4974062,126.7217448
26,메가김밥 부평점,한식당,인천광역시 부평구 부평1동 부평대로 115 1층,37.5019185,126.7214598
28,께딸 QUETAL,스페인음식점,인천광역시 부평구 부평대로40번길 6,37.494962!,126.7232661
30,참숯짝갈비,음식점,"-dong,, 529-132 부평1동 부평구 인천광역시",37.4980892,126.7212407
32,그랩어비,햄버거 전문점,인천광역시 부평구 부평대로40번길 4,37.4949283,126.7231198
34,고베규카츠 인천 부평점,음식점,인천광역시 부평구 부평5동 199-34,37.4926184,126.7236533
