id,name,sub_name,addr,lat,lng
0,희래등중화요리,중국 음식점,인천광역시 서구 탁옥로86번길 6-1,37.5430556,126.6788889
1,촌장골 서구청점,갈비 전문 음식점,인천광역시 서구 서곶로 296,37.5440322,126.6771384
2,정복앤아구,음식점,인천광역시 서구 심곡동 248-3,37.5429069,126.6762506
3,육더쿠,고기 요리 전문점,인천광역시 서구 심곡동 서곶로301번길 16,37.5447287,126.6748843
4,곤드레밥집 서구점,한식당,인천광역시 서구 서곶로 253,37.5399453,126.6761695
5,울어멍해장국,음식점,인천광역시 서구 심곡동 서곶로 281-1 다동 6호,37.5429069,126.6762506
6,달콤팩토리,이탈리아 음식점,인천광역시 서구 승학로 229,37.5430138,126.6724069
7,태백산 화로구이 인천서구점,한식 고기구이 레스토랑,인천광역시 서구 심곡동 서곶로315번길 26,37.5459636,126.673887!
8,본죽 인천서구청점,죽 전문점,인천광역시 서구 심곡동 247-9,37.5440044,126.6760552
9,소안의섬,음식점,인천광역시 서구 심곡동,37.5418696,126.6756636
10,본터,해산물 요리 전문식당,인천광역시 서구 연희동 심곡로 79,37.5421539,126.6782581
11,수원집갈비탕,한식당,인천광역시 서구 심곡동 303-5 1층,37.5421865,126.6770136
12,청라수산,음식점,인천광역시 서구 심곡동 252-3,37.5432545,126.6748054
13,백령면옥,음식점,인천광역시 서구 심곡동 255-6,37.5404367,126.6759639
14,선두주먹고기,음식점,인천광역시 서구 심곡동 283-7,37.5444145,126.6813888
15,원갈비,음식점,인천광역시 서구 심곡동 340-10,37.5417201,126.6702201
16,동남집,음식점,인천광역시 서구 심곡동 245-6,37.5445852,126.6748381
17,채선당플러스,샤브샤브 전문점,인천광역시,37.5423196,126.6763459
18,스시분초,스시/초밥집,인천광역시 서구 심곡동 279 12번지,37.5457182,126.677947!
19,서가네,음식점,인천광역시 서구 심곡동 245-6,37.5447491,126.6747417
20,집밥집,음식점,심곡동 248번지 지하 서구 인천광역시 KR,37.5434548,126.6764175
21,오자매생선촌,음식점,인천광역시 서구 심곡동 254-11,37.542929!,126.6755668
22,삼대째 손두부,두부 요리 전문점,인천광역시 서구 심곡동 301-2,37.5419307,126.6792579
23,신전떡볶이 인천서구청점,간이 식당,인천광역시 서구 심곡동 탁옥로51번길 2,37.5440284,126.6755077
24,이비가짬뽕 인천본점,중국 음식점,인천광역시 서구 서곶로 322 이비가짬뽕 인천본점,37.5463759,126.6772761
25,연희동함흥냉면,냉면 전문점,심곡동 302번지 한국아파트 상가 102 105호 서구 인천광역시 KR,37.5431051,126.678259!
26,곰순네돌곱창,음식점,인천광역시 서구 연희동 탁옥로 49,37.5440352,126.675064!
27,해오름나주곰탕,음식점,인천광역시 서구 심곡동 170,37.5392948,126.6771371
28,대학로족발,족발가게,인천광역시 서구 심곡동 248-14,37.5435336,126.6754067
29,반상,음식점,인천광역시 서구 심곡동 257-14,37.5420915,126.6731239
30,석모도밴댕이회무침,해산물 요리 전문식당,인천광역시 서구 심곡동 248-3,37.5428379,126.6762219
31,돈까스하우스,돈까스 전문식당,인천광역시 서구 심곡동 심곡로 53,37.5422623,126.6756532
32,유진족발본점,음식점,인천광역시 서구 탁옥로 22,37.5438955,126.6718225
33,한우담,한국식 소고기 전문 음식점,인천광역시 서구 심곡동 283-12,37.5440869,126.6816206
34,대청마루,음식점,인천광역시 서구 연희동 743-29,37.5485629,126.6720106
35,백년불고기 서구청점,한식당,인천광역시 서구 245-5번지,37.545606!,126.674935!
36,서구청화로구이,음식점,인천광역시 서구 심곡동 서곶로315번길 14-1,37.545819!,126.6746277
37,마왕족발 인천서구청점,숯불구이/바베큐전문점,인천광역시 서구 서곶로 323,37.546439!,126.6766429
38,청운해물아구전문점,아구전문점,인천광역시 서구 서곶로315번길 17,37.5454778,126.6746188
39,두찜 인천서구청점,음식점,"인천광역시 서구 3, 1동 탁옥로51번길",37.5442308,126.6750775
40,육대장 서구청점,음식점,인천광역시 서구 심곡동,37.5461242,126.6748697
41,청량골,음식점,인천광역시 서구 서곶로 242-33,37.5375202,126.6802604
42,싱싱꽃게랑아구,음식점,인천광역시 서구 심곡동 295,37.5434478,126.680704!
43,홍원훠궈,음식점,인천광역시 서구 심곡동 280-4,37.5439199,126.6775236
44,불타는명태조림서구청점,음식점,인천광역시 서구 심곡동 240-7,37.5459144,126.6747988
45,백지연식당,음식점,심곡동 295-5번지 상가 103호 풍천프라자 서구 인천광역시 KR,37.5432225,126.6816441
46,국수궁전,음식점,인천광역시 서구 연희동 심곡로 165,37.5476984,126.6816373
47,명동보리밥,음식점,인천광역시 서구 심곡동,37.5419307,126.6792579
48,성원닭갈비,음식점,인천광역시,37.5440322,126.6750553
49,솥뚜껑 의정부 돌솥부대찌게,음식점,인천광역시 서구 심곡동 301-1,37.5422825,126.6795549
