id,name,sub_name,addr,lat,lng
0,맛집,음식점,인천광역시 연수구 청학동 527-23번지 101호,37.4264257,126.6680943
1,백면옥,냉면 전문점,인천광역시 연수구 연수동 593-9,37.4158588,126.6796186
2,막퍼주는 시골집밥,한식당,인천광역시 연수구 벚꽃로 130-3,37.4161776,126.6802457
3,송돗골,한식당,인천광역시 연수구 동춘동 804-3,37.4135955,126.6576714
4,이북할매,음식점,인천광역시 연수구 옥련동 청룡로50번길 10,37.4230333,126.6569507
5,송쭈집 본점,음식점,인천광역시 연수구 송도동 22-22,37.3929739,126.6456431
6,우판등심,한국식 소고기 전문 음식점,인천광역시 연수구 동춘동 803-5,37.414!4d1,126.6585583
7,전동집,한식당,인천광역시 연수구 동춘동 앵고개로101번길 44-16,37.4149517,126.6563709
8,화톳불,숯불구이/바베큐전문점,인천광역시 연수구 청량로109번길 79,37.415334!,126.6531469
9,보릿고개 인천연수점,음식점,인천광역시 연수구 샘말로38번길 11,37.4127441,126.6795184
