id,name,sub_name,addr,lat,lng
0,고남정,한식당,인천광역시 옹진군 신도로 37,37.5178098,126.4386509
1,바다로,음식점,인천광역시 옹진군 북도면 신도리 523-48,37.5161703,126.4395513
2,안녕바다,카페,인천광역시 옹진군 북도면 신도로 22,37.5161372,126.439575!
3,계절식당,한식당,인천광역시 옹진군 북도면 신도로 54,37.518952!,126.439794!
4,바다 식당,음식점,인천광역시 옹진군 북도면 신도로 248,37.527898!,126.4365344
5,짜장면집,음식점,인천광역시 옹진군 북도면 신도리 962,37.5234527,126.4332755
6,바닷길식당,음식점,인천광역시 옹진군 북도면 장봉리 150-3,37.5315661,126.3704298
7,도애(섬사랑),요식업,인천광역시 옹진군 북도면 신도로182번길 35-10,37.5253162,126.4393353
8,부자신도식당,음식점,인천광역시,37.5189521,126.4397935
9,옹암식당,음식점,인천광역시 옹진군 북도면 장봉로200번길 2,37.5305383,126.3718811
10,진미자연산활어회,회 전문점,인천광역시 옹진군 북도면 신도리 555,37.5197254,126.4376625
11,옹진,만두 전문점,인천광역시 연수구 동곡재로160번길 15-16,37.4139694,126.6651046
12,토속먹거리,음식점,인천광역시 옹진군 북도면 신도리 185-2번지,37.5197372,126.4526229
13,진선미하우스식당,한식당,인천광역시 옹진군 북도면 시도리 389,37.5324938,126.42789!1
