id,name,sub_name,addr,lat,lng
0,명월집,한식당,인천광역시 중구 중앙동3가 4-46,37.4720075,126.6228517
1,일미정,음식점,인천광역시 중구 중앙동4가 2-14,37.4709209,126.6243574
2,대전집,한식당,인천광역시 중구 신포동 17-14,37.4707347,126.6270898
3,향원,음식점,인천광역시 중구 중앙동4가 2-23,37.4708095,126.6240075
4,노을밥상,음식점,인천광역시 중구 자유공원남로 13,37.4744664,126.6213765
5,다복집,음식점,인천광역시 중구 신포동 12-17,37.4709112,126.6269676
6,금촌집,음식점,인천광역시 중구 인현동 25,37.4738662,126.6309511
7,덕적식당,음식점,인천광역시 중구 신포동 24-1,37.4713656,126.626955!
8,진흥각,중국 음식점,인천광역시 중구 중앙동4가 6-2,37.4716599,126.6239097
9,곡가,중국 음식점,인천광역시 중구 관동1가 12-2,37.473821!,126.6208573
10,신성루,중국 음식점,인천광역시 중구 신생동 9-12,37.4697384,126.6264139
11,선미정,음식점,인천광역시 중구 사동 23-12,37.4689045,126.6264461
12,혜빈장,중국 음식점,인천광역시 중구 송월동2가 1,37.4803392,126.6205179
13,십리향,음식점,인천광역시 중구 북성동2가 10-26,37.475097!,126.6187887
14,메콩사롱,동남아시아 레스토랑,인천광역시 중구 참외전로158번길 14,37.4722675,126.6331686
15,일조용,중국 음식점,인천광역시 중구 신포동 신포로23번길 83 일조용,37.4730836,126.6208883
16,이화찹쌀순대,한식당,인천광역시 중구 인중로26번길 25,37.4642358,126.640422!
17,도래순,중국 음식점,인천광역시 중구 해안동2가 6-5,37.4724335,126.6211614
18,신승반점(新勝飯店),중국 음식점,인천광역시 중구 차이나타운로44번길 31-3,37.4754175,126.6178343
19,중앙옥,음식점,인천광역시 중구 중앙동3가 4-34,37.4715376,126.6227953
20,동방식당,음식점,인천광역시 중구 항동1가 2-24,37.473732!,126.6164396
21,만다복,중국 음식점,인천광역시 중구 북성동2가 차이나타운로 36,37.4760811,126.6192658
23,중화방 인천점,중국 음식점,인천광역시 중구 신포동 신포로27번길 43,37.4724617,126.6230123
25,경인면옥,냉면 전문점,인천광역시 중구 내동 154,37.4724924,126.6281867
27,담쟁이넝쿨,한식당,인천광역시 중구 자유공원남로 12,37.4743916,126.6216742
29,철이네손수제비랑칼국수,음식점,인천광역시 중구 답동 인중로144번길 71-1,37.4683569,126.6301176
31,스시민,스시/초밥집,인천광역시 중구 신포동 제물량로166번길 24,37.4710562,126.6261988
33,구운몽,음식점,인천광역시 중구 송학동3가 7-30,37.4722025,126.6254406
35,우정일식,일본 음식점,인천광역시 중구 신포로27번길 57,37.4727277,126.6222916
37,하늘채,한식당,인천광역시 중구 신포로39번길 4 1층,37.4725693,126.6258021
39,인천집,한식당,인천광역시 중구 전동 19-24,37.475484!,126.628784!
41,연평도식당,한식당,인천광역시 중구 사동 18-31,37.4697966,126.6253773
43,고향정,음식점,인천광역시 중구 신포동 30-2,37.4711903,126.6256166
45,국수평천하인천본점,음식점,인천광역시 중구 중앙동4가 7-5번지 1층,37.4718663,126.6239851
47,개항로통닭,닭요리전문점,인천광역시 중구 동인천동 84-1,37.4728901,126.6345738
49,씨싸이드경양식,돈까스 전문식당,인천광역시 중구 신포로 25-2,37.4713101,126.6248963
51,비스트로 쉐프,이탈리아 음식점,인천광역시 중구 신포동 65-1,37.4717539,126.6256261
53,백야 갈비해장국,뷔페 식당,인천광역시 중구 관동2가 2-5,37.472309!,126.6236299
55,라파미글리아,이탈리아 음식점,인천광역시 중구 신흥동2가 40-16,37.4667549,126.6342132
57,온센텐동 신포,튀김덮밥 전문점,인천광역시 중구 신포로35번길 22,37.4726447,126.6247588
59,부안기사식당,음식점,인천광역시 중구 항동1가 제물량로 245,37.4735955,126.6178226
61,제이콥스 핏제리아,피자 전문점,인천광역시 중구 신포동 11-1,37.4711412,126.6264351
63,삼강옥,설렁탕 전문점,인천광역시 중구 참외전로158번길 1,37.4730284,126.634066!
65,경남횟집,음식점,인천광역시 중구 신포동 9-16,37.4713183,126.6267496
