reivewId,content,image,star
0,"갈때마다 너무 맛있어요. 인생냉면집. 액젓, 식초, 겨자도 제공되지만 기본 육수가 너무 맛있어서 저는 아무것도 넣지 않고 먹어요. 식전 제공되는 면수도 너무 구수하니 맛있어요. 많이 드시는 분들은 곱배기시키면 메밀면을 두 뭉치 넣어줘요. 곱배기 시키면 나중에 면 추가하는 것보다 훨씬 저렴하게 많이 드실 수 있어요.…",https://lh5.googleusercontent.com/p/AF1QipPpAyJguCEF4PJat_QHu6sGArS7AOWCNbbcfD-I=w375-h281-p-k-no,5
0,"면발이 아주 맛있는 집!
메밀함량 너무 좋다
다만!!!!…",https://lh5.googleusercontent.com/p/AF1QipOoN1Ql_670Rpc_C39taLhlaa7BP0CnqYi8aJnw=w375-h281-p-k-no,2
0,"인천 지하철 2호선 시민회관역에서 가깝다.
주차는 식당 주차장도 있지만 공간이 넉넉치 않아서 인근 공영주차장에 주차했다.
점심에는 웨이팅이 있을 정도로 항상 붐비는 집이다.식당 밖에 웨이팅 간의 의자들이 놓여져 있다.…",https://lh5.googleusercontent.com/p/AF1QipOZSHdo--QeMJcwZyY6rjxHDAPGig-1iYDT8qZ_=w375-h281-p-k-no,5
0,"김구라맛집?!

녹두전은 겉바속촉이 느껴지는 고소함이 좋았다 양은 손바닥보다 조금 큰 사이즈…",https://lh5.googleusercontent.com/p/AF1QipMXZMq6WW49iBsJasBgLW7nHbKLoeVlgq0XeWHU=w375-h281-p-k-no,4
0,"오랜만에 3.1절 휴일이라 인천 맛집 탐방했는데요.
포레스팅아웃팅스 근처 부용국밥에 1차 하고 왔는데도 맛있네요. 면수부터 따끈하고 면도 쫄깃하니 맛있어요. 녹두부침은 좀 얇은데 그래도 바삭하니 맛있었습니다. 직원들도 젊은 직원이 많아 보기 좋았습니다. 오래된 맛집 분위기에요. 잘먹었습니다",https://lh5.googleusercontent.com/p/AF1QipP0ShMGtYzCs3ZUAth87a0xsTPkwXwzQSzTI7A8=w750-h563-p-k-no,5
1,메뉴가 주문하자마자 나온다. ! 엄청 빠르다. 맛은 내가 가장 좋아했던 전호메밀국수에 비하면 한참 모자르지만 한번정돈 먹어볼만한것 같다. 아니다 비빔도 먹어봐야 하니 2번이랄까..,https://lh5.googleusercontent.com/p/AF1QipOt19W-zvVLIW5KmmyPXGn9G99sPHriP2cIDmr8=w375-h281-p-k-no,4
1,"인천사는 칭구한테 널러가는 날입니다. 친구가 어릴적부터 가던곳이라고 데려간 곳입니다.

메뉴는 모밀과 만두가 대표적인 곳인가 봅니다. 모밀중에서 냉모밀을 시키고 만두중에는 통만두를 주문합니다.…",https://lh5.googleusercontent.com/p/AF1QipNh7ylS8FxJS-1BbUelU7yHzJqammDW70Q8saTa=w375-h563-p-k-no,5
1,"아무리 물가가 오르고 인건비가 올랐다고는 하지만
만두가 반으로 모양이 작아져서 깜짝 놀람. 장난감 모형같음 모밀이야 이제는 그만큼 맛내는곳이 많아졌지만 주안에 갈곳이 딱히 없다는게 아쉬울뿐",https://lh5.googleusercontent.com/p/AF1QipNh7ylS8FxJS-1BbUelU7yHzJqammDW70Q8saTa=w375-h563-p-k-no,3
1,"만두가 맛있어서 손이 가고 또가네요..
최소 인당 한판입니다. 최소.
모밀은 솔직하게 완전 특별은 아니구 적당하네요",https://lh5.googleusercontent.com/p/AF1QipNh7ylS8FxJS-1BbUelU7yHzJqammDW70Q8saTa=w375-h563-p-k-no,4
1,"장점
부평점보다 맛있음 (특히 통만두가)
2명이 만두 5판 먹었더니 1판 서비스 주심 (인심 짱)…",https://lh5.googleusercontent.com/p/AF1QipPF9JfNsDimDBlZomm8RN0uIzR7bQZZpfhUuGVX=w375-h281-p-k-no,4
2,"맛있다고해서 서울에서 일부러 찾아갔어요
늦은 시간이었고 주차장은 넓으나 자리가 없을 정도로 사람이 많네요
대기는 거의 없이 착석했고 메밀우동,메밀비빔,계란김밥,콩국수,만두 주문했고요…",https://lh5.googleusercontent.com/p/AF1QipNnmKkkA1BfkxeqoTj8FxY9YvyvUv9JlUlv4Hta=w375-h281-p-k-no,4
2,"주차장도 넓고 가성비가좋아 접근하기 좋은것같아요 메밀우동과비빔면,계란말이김밥  먹었는데  김밥은 별루인것같아요  우동과 비빔면은 맛있었어요  가끔은 생각날것같아요",https://lh5.googleusercontent.com/p/AF1QipPX2O7Uqw_payS2mJzJBoXi6r6XnwYsqfMBf7nh=w375-h281-p-k-no,4
2,"비빔국수가... 그냥 제 입엔 맛이 없습니다.
(사진은 없지만)
계란김밥은 평범하고 국물도 네.…",https://lh5.googleusercontent.com/p/AF1QipMETbEuth-x7oiAaQN2wruiWLhFmRtv2BFHOfBW=w375-h563-p-k-no,3
2,"음식 매우 빨리 나오고 주차장이 매우 넓어요!
메밀우동은 면만 메밀색이고 쑥갓 때문인지 옛날 각기우동이 생각나는 맛입니다~
테이블 마다 우동에 뿌리는 작은 튀김이 담긴 통이 있는데 많이 넣지 마세요.
느끼해집니다",https://lh5.googleusercontent.com/p/AF1QipPdKWVlPESOSfIrH36eBdIu8X6VcC3PIWWZFebY=w375-h281-p-k-no,4
2,비빔 먹었는데 다음엔 그냥 우동 먹어봐야할듯. 매장도 넓고 주차장도 크다,https://lh5.googleusercontent.com/p/AF1QipOeTymzvmSUMDp2JxZ9iTeOZ-t6ai8FtifKbbh3=w375-h281-p-k-no,5
3,여러 방송에도 소개된 노포입니다. 된장 베이스에 갈비가 넉넉히 들어간 해장국은 일품. 주차 면적도 충분하고 가격도 착한 식당입니다.,https://lh5.googleusercontent.com/p/AF1QipOeTymzvmSUMDp2JxZ9iTeOZ-t6ai8FtifKbbh3=w375-h281-p-k-no,4
3,"육개장이 맛있다는 말을 듣고 온김에 들려봤어요. 일단
맛있어요. 국물도 진하고 맵기도 적당하고 대파도 많이
들었고 고기도 많고 가격이 싼것은 아니었는데 맛있게
먹었어요.",https://lh5.googleusercontent.com/p/AF1QipMV23AXfAnPnYjQbirpYN-wyChWzEMVTaIl8xdU=w375-h281-p-k-no,4
3,"식당 방문기
엔터스타뉴스 언론인 사진작가
로이정/방준희 방문 평가  별점 5 ★★★★★…",https://lh5.googleusercontent.com/p/AF1QipNnGAk2anRT4GV93j2FiSGJiStb18gDwQYMdQbV=w375-h281-p-k-no,4
3,"맛있는녀석들에서 보고 일부러 찾아간 육개장 맛집. 오랜만에 맛있는 육개장을 먹었다. 첫 맛은 매웠는데 먹다 보니까 괜찮다가 다 먹고 나니 역시 매우긴 맵다😅
엄마도 맛있게 드셔서 기분이 좋았다. 깍두기가 특별히 맛있었다. 직원분들도 친절하셔서 깍두기가 맛있어서 더 달라고 하니 많이 드시라고 하면서…",https://lh5.googleusercontent.com/p/AF1QipOEwdH4opwGWwLv9SEEdz0na0EErzIwE9xF7jy1=w375-h563-p-k-no,5
3,"우거지 해장국은 갈비탕 국물에 우거지 들어간 만!
육개장은 매워요~;; 하지만 맛있어요^^
저는 맵지리라 패쑤...ㅎ
건더기 많아서 좋아요^^",https://lh5.googleusercontent.com/p/AF1QipOEwdH4opwGWwLv9SEEdz0na0EErzIwE9xF7jy1=w375-h563-p-k-no,5
4,"적당한가격에 맛있게 먹었습니다

하지만 다시는 안갈거같아요....",https://lh5.googleusercontent.com/p/AF1QipP5GRn8FOcZBGKQB0BDsVO65XCURs6r8btjvCcT=w375-h281-p-k-no,5
4,"직원분들도 친절하고 고기도 맛있어요.
주차는 맞은편 병원주차장에 하시면 주차권 지원해드려요",https://lh5.googleusercontent.com/p/AF1QipNU5VgJYWn8UCHoPmHMrw20R1DcMxl5tty4PVsv=w375-h563-p-k-no,5
4,직원들이 매우 친절하고 음식도 깔끔하고 좋았습니다. 다만 개인적으로는 소스들이 전부 단 느낌이 있어서 아쉬웠습니다. 그래도 깔끔하고 정말 친절하고 맛도 좋아서 또 가고 싶어졌어요,https://lh5.googleusercontent.com/p/AF1QipMGSiZKOp2mTAUwcb0cn7w5KhIh8jOOO1UgFbmm=w375-h563-p-k-no,4
4,"입에서 살살 녹는 소고기 눈꽃살 일품입니다.

왜 20년 이상 장수하는 주안 맛집 인지 알고 갑니다. ^^",https://lh5.googleusercontent.com/p/AF1QipOvb7NlkAt45L53rCNAG0Cjlj775D-MokmUaoeh=w375-h281-p-k-no,5
4,"화룽만의 독특한 쌈세트 너무나 맛있어요~~화룽 천상의 마블링 눈꽃살도 너무 부드럽게 맛있고, 담백하고 고소한 소막창은 어디와도 비교할 수 없어오!! 직원들도 너무 친절하고 좋네요~~추천합니다~~!",https://lh5.googleusercontent.com/p/AF1QipNeeX6FLb0whn3hz4DaI2sPUPiaA3ugY16WpG-6=w750-h563-p-k-no,5
5,예전에 한창 다닐때와는 많이 달라졌네요. 두명이서 2인메뉴가 생겼기에 주문했는데 솔직히 맛은 있었지만 매운맛과 보통맛의 차이가 엄청나요.. 보통맛은 별 특색이 없어요.매운맛이 예전같을지 모르겠지만 다시 방문한다면 무조건 매운맛으로 주문할겁니다. 2인메뉴도 매운맛 선택 가능하게 해주세요..,https://lh5.googleusercontent.com/p/AF1QipOxeSqv8TIt4sZ1pZTao8HxgINycBJckNlg_V6o=w750-h563-p-k-no,4
5,"옛그대로의 매운맛..
옛 기억도 새록새록
변하지 않은 맛있는 매운맛.
너무 맛나게 먹었습니다.",https://lh5.googleusercontent.com/p/AF1QipOxcswkIsgKdP6ORVFFRrHiUKsvxClEMVCzYjlV=w375-h563-p-k-no,4
5,"좀 덜 맵게 먹었는데 그래도 치즈 가득해서 맛있었습니다-!
약간 짭쪼름하고 매워요!",https://lh5.googleusercontent.com/p/AF1QipOli1DqH7G8bH2TjQFYnnCwfPhpKquYcm0-6on5=w750-h563-p-k-no,5
5,"치즈닭이 맛있었습니다.
매운맛은 엄청 매우니 잘 생각하고 고르세요.
가격은 비싼편인듯...",https://lh5.googleusercontent.com/p/AF1QipMIIPR-g9Y649KcTWjOKeP6MU8sKf342PSpZSVx=w375-h563-p-k-no,4
5,"JMT 인천명물
잘다녀왔습니다.  고추도 짱",https://lh5.googleusercontent.com/p/AF1QipMvkkZZKjcd_NDgL0loApeHYudR89rOp-024epo=w375-h563-p-k-no,5
6,"순대국밥은 끝내주게 맛 있습니다.
줄이 항상있으니 대기는 필수~",https://lh5.googleusercontent.com/p/AF1QipN1tTbj1h-foh0WN9RZUMY-0f7yBsmWfaTP7ANf=w375-h563-p-k-no,5
6,"순대국의 고기는 얇게 썰려서 먹기 편하고 국물의 깊은맛까지...
음식은 최고입니다!
방문하시면 항상 대기시간이 있고 직원분들은 그냥..저냥.. 적당합니다..  친절도가요 하하…",https://lh5.googleusercontent.com/p/AF1QipN1tTbj1h-foh0WN9RZUMY-0f7yBsmWfaTP7ANf=w375-h563-p-k-no,5
6,"소개받고 갔는데 역시 맛있어요
돼지특유의 냄새도 안나고 고기도 얇게 썰어 씹기도 편해요
전 익은 김치 좋아해서 깍두기 맛있게 먹었는데 익은거 싫어하시는분들은 그게 좀 아쉬워요.
순대국 정말 맛있습니다",https://lh5.googleusercontent.com/p/AF1QipN1tTbj1h-foh0WN9RZUMY-0f7yBsmWfaTP7ANf=w375-h563-p-k-no,5
6,"이 근방에서 널리 알려진 맛집으로 유명한 식당입니다
원래는 지금있는 장소에서 약1.5키로 떨어진곳에 위치해 있었으나 도시개발정비사업으로 철거가 예정되어있어
지금 있는 곳으로 자리를 옮긴지가 얼마 안됩니다",https://lh5.googleusercontent.com/p/AF1QipN1tTbj1h-foh0WN9RZUMY-0f7yBsmWfaTP7ANf=w375-h563-p-k-no,4
6,"순대국을 전문으로 하는 식당입니다. 메뉴는 순대국, 술국, 순대가 있으며 포장도 가능합니다(2인 이상) 가장 붐비는 점심시간(11:30~14:00)은 가능한 피하는 것이 좋습니다.…",https://lh5.googleusercontent.com/p/AF1QipPffjU7_9t6SS4wEqFXnndVNrMfjAnC_2BbeOFY=w375-h281-p-k-no,5
7,"가성비좋다
두툼한 삼겹살이 맛있고
안바쁘면 여성분이 쩔어주시는데 넘 맛있다.…",https://lh5.googleusercontent.com/p/AF1QipMuF4NOQEpUb_OYQAuUpfL5ejAZ9BJCUYtYyUmC=w375-h281-p-k-no,5
7,주안 최고의 삼겹살 맛집이 되시길! 특히 파를 구워먹는게 일품!,https://lh5.googleusercontent.com/p/AF1QipMuF4NOQEpUb_OYQAuUpfL5ejAZ9BJCUYtYyUmC=w375-h281-p-k-no,5
7,"맛은 너무너무 있어요
근데 남자직원분이 퉁명스러워서 별로에요ㅜ",https://lh5.googleusercontent.com/p/AF1QipMuF4NOQEpUb_OYQAuUpfL5ejAZ9BJCUYtYyUmC=w375-h281-p-k-no,3
7,부드러운고기맛,https://lh5.googleusercontent.com/p/AF1QipMuF4NOQEpUb_OYQAuUpfL5ejAZ9BJCUYtYyUmC=w375-h281-p-k-no,4
7,평범함,https://lh5.googleusercontent.com/p/AF1QipMuF4NOQEpUb_OYQAuUpfL5ejAZ9BJCUYtYyUmC=w375-h281-p-k-no,2
9,"가격도 괜찮고 맛있네요
친절하고 매장도 깨긋하네요",https://lh5.googleusercontent.com/p/AF1QipMuF4NOQEpUb_OYQAuUpfL5ejAZ9BJCUYtYyUmC=w375-h281-p-k-no,4
