reivewId,content,image,star
0,"시큼한 김치찌게집이다.

오래된 노포식당
옛맛은 있는데, 전반적으로 음식이 짜다",https://lh5.googleusercontent.com/p/AF1QipPDC6ziPJHCSG6xWSdXmFaQ5E9NKtLQcNgKrOxw=w375-h281-p-k-no,3
0,"1인분 9천원 백반에 이정도 반찬에 공기밥(추가 1천원)빼곤
다 무한 리필 가능하고 옛감성 묻어나는
풍로에 끓인 김치찌개는
대박입니다.",https://lh5.googleusercontent.com/p/AF1QipNoTbJIMei3Wgkiy7hMi9LwTerPN4rDlCYLQPTj=w375-h563-p-k-no,5
0,"오래끓인 김치찌개가 시원하고
반찬도 정갈하게 맛있었습니다",https://lh5.googleusercontent.com/p/AF1QipMhIoa13cxhK84G4JIsCKM0dYYEQobHCDjhD7xo=w375-h563-p-k-no,5
0,신포시장 주변으로는 가성비 좋은 밥집들이 많이 모여있다. 이 식당은 김치찌개 단 하나만을 판매해서 따로 주문할 필요가 없고 인원수에 맞춰 알아서 반찬을 내준다.…,https://lh5.googleusercontent.com/p/AF1QipMjV6S3fEzhS7FWxSFHaBGS3Bs8W7aVuxJpe3WD=w375-h563-p-k-no,4
0,"백반이9천원 신포동에서 ... 계란말이더달라는말에 ..
없어여....  조기찜 짜고비리고 김치찌게 맛도변하고
방송출연하고 변한집…",https://lh5.googleusercontent.com/p/AF1QipMjV6S3fEzhS7FWxSFHaBGS3Bs8W7aVuxJpe3WD=w375-h563-p-k-no,1
1,"티비를 보고 방문하게 되었습니다.
마침 비오는 날씨가 불고기와 잘 어울리는 듯 했습니다.
점심에 갔더니 1층은 만석이었고 2층에 올라가 자리를 잡았습니다. 메뉴는 불고기백반에 육개장, 삼계탕이 있습니다. 티비에서 본 메뉴는 불고기였기에 백반을 주문하고 기다리는데 음식이 금방 나오더라구요. 반찬과 된장찌개 맛도 맛있는데 달달한 불고기와 같이 먹으니 잘 어울립니다.",https://lh5.googleusercontent.com/p/AF1QipOcQAngj4RVQwxzEruzY1yooW5kY-qLdM4ElbqV=w375-h281-p-k-no,4
1,"육개장 근사하다
먹고 나오는 데 또 생각난다.
아쉬워서 옛날소불고기 포장했다.
일미정, 일미 일품이다~",https://lh5.googleusercontent.com/p/AF1QipPS3dMWgsNw0SqhE9gME5RHabUokiZNoCvEMneC=w375-h281-p-k-no,5
1,"불고기백반 최소주문은 2인분부터 주문이 가능하며, 된장찌개까지 나오는 완전 혜자메뉴이다.
2명이 갔을땐 불고기백반과 육개장을 시켜 먹는걸 추천한다. 밥 2공기가 도둑 맞을 수 있으니 밥 잘 챙기기를",https://lh5.googleusercontent.com/p/AF1QipOaQl91gfPp7TPSDAbYSDyWDdHp5NUgadSNeMy9=w375-h281-p-k-no,5
1,"신포의 오래된 노포라 한번쯤 가보려고 벼르다가 아들과 방문. 주인 어르신 부부가 운영하실때는 저렴하고 푸짐한 맛집으로 유명하다가 조카분이 이어받으신뒤로 예전만 못하다는 평을 받고 있는곳입니다. 불고기 백반이 궁금하여 불고기 백반 2인분 시켰구요. 가격은 오르고 양이 적은거 맞네요. 메인 불고기와 밑반찬,된장찌개는 평범한 맛이고 맛으로 손님을 끌지못하면 가격이 저렴하거나 양이 푸짐해야 하는데 그것또한 아니네요. 결정적으로 제가…",https://lh5.googleusercontent.com/p/AF1QipNcYv5FtfNOFS9n2l1ZJJR49wsmHmgo7SRdGw4U=w375-h281-p-k-no,2
1,불고기백반 인천 중 단연최고! 반찬도 실하고 기본으로 나오는 된장찌개도 환상적이에요,https://lh5.googleusercontent.com/p/AF1QipPVkVNyyaWn6LLV3VzLWeiyBbXhnUeoptVHM_iv=w375-h563-p-k-no,5
