,storeId,content,star,userId
0,0,"생선도 싱싱하고 숯불이 좋아
맛이 좋네요.
메인 생선요리가 따로 나왔는데…",4,35
1,0,"검색해서 간 곳이예요
생선을 숯불에 구우니
이렇게 맛이있구나 3인분을 3명이…",5,14
2,0,"냉동생선이 아니고 생물 생선을 숯불에 구어 고기가 아주 부드럽고 숯불 향이 제대로입니다.
반찬중에는
깔끔한 맛의 순무김치와 청어알 젓이 아주 맛있네요
강추합니다.",5,3
3,0,"깔끔함은 바라지않고 맛만보고 간다면 나쁘지않음.
초벌구이한 생선이 나오면  숯불에 좀 더 익혀서 먹을수있음.
생선 정식에 2천원을 추가하면 솥밥으로 먹을수있음. 따끈한 밥에 누룽지까지...솥밥 추천…",4,2
4,0,"모듬생선구이₩16.000~계절따라 그때그때 나오는 많이 나오는 생선으로 주시는것같아요
오징어.뽈락.가자미.전어등7가지 나오네요
숯불에 구워먹는 방식…",4,47
5,1,"오션 뷰가 잘 보이는 넓은 매장에서 살이 꽉 찬 랍스터와 타이거새우, 조개구이 한판과 인삼 막걸리로 몸보신 잘 하고 왔습니다 ♪ 사장님도 엄청 친절하시고 음식들도 담백하니 맛나게 잘 먹었어요!!
다음 번에 전복장어구이를 맛보러 또 방문하고 싶어요^^",5,24
6,1,"치즈랑 전체적인 메뉴가 너무 잘어울렸어요 서비스도 주시고, 랍스터가 싱싱하고 맛있었어요!! 바다뷰 보면서 랍스타 먹으니 여행온 느낌 너무 잘 나더라구요~ 사장님도 너무 친절하세요~~",5,40
7,1,구성은 좋은데 가격대비 양이 적어요. 랍스터가 비싸서 그런지 소자 13만원 둘이 먹기 양이 그리 많지 않아요 ㅠㅠ 맛은 근데 있습니다 뷰도 좋구요^^,3,43
8,1,창가자리에 앉았다면 바다구경을 하면서 더 멋졌겠지만 창가는 이미 만석이더라고요 대신에 다른 테이블에 앉았는데 나쁘지 않았습니다 랍스티 1kg 짜리가 생각보다 많이 실하고 좋아요 그런데 집게 먹기가 조금 불편하더라고요 그래도 실해서 좋더라고요  장어가 조리가 되어서 와서 연기걱정 냄새 걱정은 안 하셔도 됩니다 장어보다는 랍스타가 맛있네요 예약하고 오면 아마도 창가자리에 앉을 수 있겠죠?? 예약하고 오시길 추천 드립니다 ^^ 식사는 알밥하고 라면 중 선택 가능 하다고 합니다,5,25
9,1,"초절임 같은 밑 반찬은 대부분 직접 하신거라 말씀하신대로 깔끔하고, 맛 있었으나 메인 요리들은... 해신탕, 랍스타장어전복구이는 가격에 비해 내용물이 실하지 않았어요. 전복은 찾아보기도 힘들만큼 밑바닥 양파와 구분되지 않을만큼...ㅠㅜ
재료가 원래 비싸다지만... 다신 안 갈 듯!",3,34
10,2,"스태미너 푸드로 최고인 갯벌장어. 싱싱하고, 신선한 장어를 숯불에 구워서 줍니다. 잔반찬들이 맛나고, 장어질도 좋습니다. 2인 기준 10만원(1kg)",5,22
11,2,"갯벌장어가 너무 맛있었고 사장님이 친절하게 해주셔서 좋았습니다~~
네이버로 예약하고 갈 수 있어서 편리하게 이용했네요^^
편하게 먹기만하다가 갔습니다.",4,46
12,2,"갯벌장어라지만 솔직히 일반인들은 갯벌인지 민물인지 잘 모르겠어요. 강화까지 오셨으니 갯벌드셔야지 하는 서빙이모님의 말에 얼렁뚱땅 갯벌구이를 시켰어요.
가격 사악합니다..맛은 그냥 우리가 시내에서 먹는 그 아는맛 ㅋㅋ",3,9
13,2,"민물장어가 부드럽긴한데 확실히 갯벌장어보다는 살짝 느끼함이 있네요 숯향이 베어서 맛있긴한데
바로 전주에 다른 장어집을 다녀온터라 더 비교되긴 하더라두요 ; 장어 주문하면 꼬리가 살아서 움직였는데 여기는 그러진 않더라구요ㅋ  숯불이라 계속 잘 보면서 구워줘야해요 안그럼 타요 ㅋ…",3,47
14,2,강화도에 위치하고 있으며 갯벌장어로 스테미너  푸드로 최고ᆢ살도 통통하고 씹는 맛이 단연 먹어본 장어중에 최고였습니다. 양도 푸짐하고 가게도 깨끗하고 넖으며 숯불에 먹는 맛이 단연 일품ᆢ최고였습니다. 전국 5대 장어맛집으로 정식 인정받은곳이며 직접 구워주니까 더 맛있게 먹었습니다. 더운 날씨에 복분자와 함께 드시면 건강에도 좋을것이라 생각됩니다. 시원한 여름 보내세요,5,4
15,3,"밴댕이무침 민물장어 부드럽고 맛있어요.
곁들여 나오는 상차림도 찌종류가 있어서 느끼하지않게 먹을수있어 좋았어요.
어르신들도 많이 오시는걸 보니 첫방문 좋았어요.",5,25
16,3,"태어나서 먹어본 장어 중 제일 맛있다
숯불향 적당하고 쫄깃한 식감에 간장 쏘스 최고
갯벌장어 꼭 드세요",5,26
17,3,"맛도 좋고 써비스도 좋아요
주차장도 넒고...
연인이 아닌 가족과 함께 식사하기엔 장어 가격이 조금 부담스럽지만~~",4,4
18,3,"기본적으로나오는반찬들이 아주깔끔하고신선했고
맛있었다
메인메뉴인 갯벌장어또한 말할것도없이
매우 맛있었음",5,48
19,3,친절하고 맛있음 같이간 캐나다 친구도 엄청좋아했음 단 50분안에 먹고 즐겨야했음,4,44
20,4,"진짜 대박적이네요, 자연과 어우러짐이
좋고 음식도 맛있습니다. 카페
이름은 드리우니 입니다",5,13
21,4,이곳 음식 정말 맛있어요...주인분 혼자 운영을했어 예약을 하시는게 좋아요...강화도는 관광객 상대의 음식점이 많으나 이곳은 강화도 주민들이 많이 찿는 음식점 입니다...주로 강화도 도민들은 제철음식을 많이드시고 관광객들은 쌈밥을 많이 드세요..저는 강화도 방문할때 마다 무조건 이곳에서 식사를 합니다.  . .사진은 누가 올려는지 몰라도 달라요,5,31
22,4,전통한옥에 마당까지 잘관리되어 차한잔의 투자가 아깝지않답니다^,4,10
23,4,"계절매뉴 병어조림 먹었는데 완전 반했어요^^ 다른곳에서는 국물 몇숫가락인데 여기에선 밥 한공기반 뚝딱
기본반찬도 깔끔하면서 맛도 👍…",5,29
24,4,"여기서점심먹고설사쫙쫙햇음
그날닭튀김나왓는데.
에휴.…",1,45
25,6,한 10여년 전부터 가끔 드나들던 강화 맛집 입니다.  거진 3년전 방문이 마지막이었고 오늘 집사람이랑 휴가의 마무리로 식사하러 갔습니다. 음식이 예전만 못하네요. 그전에는 가격 대비 정말 푸짐하고 맛있었는데 오늘 방문하니 조금 서운합니다.  양도 많이 줄고 가짓수도 예전만 못하네요. 가격도 조금 올랐던데 ...…,3,46
26,6,"유명한 집들 부풀려진 경향이 있는데 진복호는 진짜였습니다..
일인메뉴 시켰는데 스끼다시는 적당한 양이 먹을만했습니다..
회는 싱싱한 선어회가 도톰하니 맛있구요..…",5,22
27,6,"재방문의사 있음

평일인데도 점심시간에 웨이팅 있을 정도로 유명한 곳이에요.…",4,10
28,6,"가을 전어가 맛있다고해서 처음으로 전어를 먹으러 갔습니다
전어구이와 호박꽃게탕? 을 먹었구요,
먼저 나오는 모듬해물과 간단한 먹을것들을 맛봤습니다…",3,31
29,6,"1. 횟감은 싱싱하고  쫄깃해요.
2. 환경은 넓고 쾌적해요.
3. 아쉬운점이 많아요…",3,40
30,7,"시골 가는길에 칼국수 맛집 검색으로 나온가게입니다. 여러번 방송에도 나왔었던 가게네요. 그다지 큰 기대없이 들어갔다가, 대기인원에 한번 놀라고, 기다리고 들어가서 나온 음식맛에 두번 놀라고!! 방송나온가게들 크게 기댜 안하는편인데, 정말 맛있게 먹고 나왔습니다. 열무김치와 배추김치도 아주 맛깔납니다. 여러 후기에서 부추전은 꼭 먹어야할 음식이란 글을 보고 저도 주문해서 먹었는데, 정말 맛있었습니다. 다음에 재방문 의사 100프로입니다.",5,25
31,7,"칼칼한 국물이 맛있는  곳. 국수를 반죽하여 썰어낸 면은 궁극의 쫄깃한 맛을 낸다. 칼국수와 강화도 명물 순무 김치를 함께 먹으면 궁합이 딱 좋다.
부추전은  부추즙이 들어가서 비교적 얇게 나온다.",5,1
32,7,"손칼국수. 음식명답게 쫄깃.
순무김치도 맛있고 배추김치도 맛있어서 3박자가 잘 맞음.
대신 매운맛은 2인분이 기본이라 맵찔이와 간다면 맵순이 맵돌이들은 기본맛만 먹을 수 있음…",4,41
33,7,얼큰 칼국수로 먹었는데 다음에는 그냥 칼국수로 먹어보고 싶네요. 얼큰 칼국수는 아주 매콤하고 김치는 배추물맛 나고 삼삼해요.,5,23
34,7,"신라면보다 좀더 매움..
맵질이는 많이 매움 ㅠㅠ
국수 면빨은 쫄깃해요",5,24
35,8,"주차장에 들어서면 강이 보여서 뷰는 너무 좋았어요~~ 보신칼국수 2인분을  먹었는데 낙지두마리 전복네마리 그밖에 조개랑 야채등등~~~살아있는 해산물들이라 낙지는 야들야들하고 전복두 고소하니 맛있었는데 조금 끓이다보면 너무 짜지는게 한가지 아쉬웠어요 너무 끓였나?  ㅋㅋ
국물이 시원하니 보신 제대로 한듯~~~",4,27
36,8,"칼국수 얼큰한 맛과 시원한 맛 2인분씩 주문 했어요. 먹을수록 깔끔하고 깊은 맛 입니다. 낙지가 들어가는지 안 들어가는지에 따라 가격 차이가 있습니다. 맛나요.싸요!! 관광지 가격은 다 무시무시 하잖아요. 칼국수 가격이  한정식 가격인 곳도 있지만 여긴 적절합니다.사장님의 친절함과 직접 담근 김치, 깍두기 추천입니다.",5,7
37,8,깔끔한 해물 칼국수가 좋음. 자극적이지 않고 담백한 재료 그대로의 승태로 먹어도 맛있다. 가게가 제안하는 다대기를 넣지 않아도 그 순수한 재료의 맛이 좋았다. 만두도 느끼하지 않고 담백한 스타일이라 만두를 칼국수에 넣어 먹었더니 이 역시 별미. 함께 먹은 산낙지 탕탕이도 신선하고 좋았다. 식사를 다 하고 나면 앞 저수지를 바라보며 휴식을 취할 수 있어 좋다.,4,28
38,8,"맛나요

김치 맛집 이에요",4,1
39,8,"일단 친절해서 기분 좋은 곳입니다.
저수지를 바라보며 식사할 수 있습니다.
기본 칼국수는 8000원으로 적당한 수준의 가격이고 맛있습니다.…",5,18
40,9,"강화도에 놀러온김에 동막해수욕장을 들렀다가 사람이 많아 들어가보았습니다. 대기가 많네요. 배틀트립에 나온 곳으로 토와이스가 방문한 곳이라 하네요. 대부분 만두전골을 많이 드셨는데, 각각 맛보고싶어 만두,육개장칼국수,바지락칼국수를 시켰습니다. 우선 만두는 평범한 맛이네요. 피가 좀 두꺼운 편인데 그에 비해 속이 곽차지도 않은, 뭔가 좀 아쉬운 맛이었습니다. 바지락칼국수는 멸치 베이스인것 같았고, 청양고추를 종종 썰어 넣어 약간의…",2,37
41,9,"유명하다고해서 굳이 찾아와서 먹었는데
그냥 그랬어요. 맛없는 것도 아니고 딱 기본.
개인적으로 바지락보단 육개장이 더 맛있었어요.…",3,19
42,9,"핵 노맛ㅠㅠ
옛날 육개장 맛 국물은 엄청 맵고
고기도 별로없고…",1,24
43,9,육개장 칼국수 맵다. 그냥 맵다. 호불호를 논할 수준이 아니다. 그런데 얼마전 tv에 나왔단다. 평일 늦은 점심시간인데도 사람은 많다. 바보상자,1,27
44,9,"강화도에 갔다면, 칼국수가 땡긴다면, 들러보세요....바지락 칼국수를 추천합니다. 만두는 음식 주문 시 함께 주문 하세요. 추가 주문 했다가 20분 걸렸습니다..",3,40
45,10,"2023.04
강화도에 많은 장어집이 있고 여기도 그 한 곳..…",4,21
46,10,"밑반찬이 정갈하고 매장과 주차장이 넓습니다.
장어는 초벌해서 나오고 금방 익혀서 먹었어요.
도톰하니 맛도 좋구요. 쫀맛-!…",4,45
47,10,"멀리서 오신 귀한 손님을 대접하기 위하여 들렸는데, 주변 경관도 참 좋았고 맛도 좋았습니다. 물론 가격도 꽤 나갔지만...서비스가 좋으니 모든 것이 다 좋습니다. 그래서! 음식점은 서비스가 좋아야만 음식이 맛있다는 것을 다시 느꼈습니다.",5,38
48,10,"11월 네째주 방문
1. 식당 주차 공간 넓어요
2. 좌석은 전체 테이블석…",4,48
49,10,갯벌장어가 크고 쫄깃하고 맛있었습니다 장어가 이렇게 쫄깃할수 있다니... 구워주시는 직원분도 친절하시고 기분좋게 식사하였습니다,5,29
